,OPEN,HIGH,LOW,CLOSE,SETTLE,VOLUME,OI
20230201,1985.4514495806445,2007.8353441644167,1984.5560937972934,2003.8062431393384,1998.4341084392331,64662.0,132498.0
20230202,1997.5387526558814,2001.567853680961,1990.3759063890743,1995.74804108918,1996.1957189808554,45346.0,130181.0
20230203,2001.1201757892848,2010.0737336227944,1989.032872714048,2005.5969547060402,1998.881786330908,63895.0,133164.0
20230206,1997.5387526558814,2003.3585652476627,1979.631636988864,1987.2421611473465,1990.3759063890743,72456.0,133886.0
20230207,1983.6607380139426,1987.2421611473465,1952.7709634883365,1963.0675549968719,1967.0966560219504,94609.0,131446.0
20230208,1963.0675549968719,1966.2013002385997,1938.4452709547213,1941.1313383047745,1951.8756077049854,68488.0,136881.0
20230209,1939.3406267380728,1942.9220498714762,1927.7010015545104,1939.788304629748,1935.759203604669,63090.0,138591.0
20230210,1942.0266940881254,1956.3523866217402,1939.3406267380728,1953.2186413800118,1946.50347300488,62770.0,136670.0
20230213,1951.8756077049854,1951.8756077049854,1927.7010015545104,1935.3115257129928,1936.65455938802,62871.0,140751.0
20230214,1938.4452709547213,1944.2650835465024,1925.4626120961327,1933.5208141462922,1935.3115257129928,49349.0,141395.0
20230215,1928.5963573378617,1976.497891747136,1920.985833179379,1961.27684343017,1954.1139971633627,130081.0,135566.0
20230216,1949.637218246608,1960.3814876468189,1943.3697277631518,1955.9047087300644,1951.42792981331,66942.0,133496.0
20230217,1960.3814876468189,1964.4105886718976,1933.9684920379666,1946.50347300488,1948.2941845715811,59893.0,134125.0
20230220,1948.7418624632571,1965.7536223469244,1946.0557951132046,1957.2477424050905,1957.2477424050905,51099.0,128771.0
20230221,1959.933809755144,1964.4105886718976,1952.7709634883365,1955.9047087300644,1957.6954202967663,41246.0,127681.0
20230222,1953.6663192716878,1958.590776080117,1941.5790161964496,1948.7418624632571,1949.637218246608,51368.0,131578.0
20230223,1948.7418624632571,1985.4514495806445,1947.398828788231,1982.317704338916,1974.2595022887576,114093.0,139718.0
20230224,1979.183959097188,1988.1375169306973,1974.2595022887576,1983.2130601222675,1981.422348555565,57066.0,136967.0
20230227,1987.6898390390213,1989.480550605724,1975.6025359637845,1981.422348555565,1981.422348555565,44244.0,137583.0
20230228,1985.4514495806445,1986.7944832556714,1968.4396896969765,1973.364146505407,1975.6025359637845,52223.0,134460.0
20230301,1974.7071801804334,1981.422348555565,1965.3059444552487,1973.364146505407,1973.364146505407,51852.0,131124.0
20230302,1967.9920118053005,1976.0502138554598,1938.4452709547213,1947.398828788231,1953.2186413800118,105110.0,136988.0
20230303,1955.0093529467133,1982.317704338916,1954.1139971633627,1975.1548580721087,1968.4396896969765,92770.0,129893.0
20230306,1977.3932475304864,1977.3932475304864,1941.5790161964496,1950.532574029959,1954.5616750550384,93828.0,128058.0
20230307,1957.6954202967663,1979.631636988864,1952.7709634883365,1967.9920118053005,1965.3059444552487,85847.0,119239.0
20230308,1965.3059444552487,1978.2886033138373,1959.933809755144,1973.364146505407,1969.782723372004,55556.0,122116.0
20230309,1972.0211128303808,1980.079314880539,1963.0675549968719,1968.4396896969765,1972.0211128303808,54124.0,123612.0
20230310,1967.9920118053005,1969.335045480328,1951.8756077049854,1963.9629107802227,1961.7245213218455,64759.0,120243.0
20230313,1966.6489781302755,1966.6489781302755,1944.7127614381784,1957.6954202967663,1955.9047087300644,70714.0,126592.0
20230314,1967.5443339136264,2004.2539210310129,1966.2013002385997,1988.1375169306973,1985.0037716889688,136498.0,134707.0
20230315,1987.6898390390213,1998.881786330908,1980.079314880539,1986.7944832556714,1988.1375169306973,74720.0,138870.0
20230316,1984.5560937972934,1993.9573295224786,1976.497891747136,1987.6898390390213,1985.4514495806445,67023.0,135279.0
20230317,1989.480550605724,2002.463209464312,1982.317704338916,1990.823584280749,1990.823584280749,86302.0,134768.0
20230320,1994.405007414153,2003.3585652476627,1952.7709634883365,1955.9047087300644,1974.2595022887576,136052.0,127282.0
20230321,1959.933809755144,1965.3059444552487,1948.7418624632571,1956.8000645134152,1956.8000645134152,67121.0,123944.0
